iter	RMSE
0	16.39656427
1	16.03739361
2	15.6842314
3	15.35618186
4	15.05432189
5	14.76691195
6	14.50202841
7	14.24745137
8	13.99065313
9	13.754842
10	13.52553979
11	13.30715812
12	13.10962169
13	12.91748968
14	12.74542396
15	12.57404018
16	12.42031021
17	12.27153155
18	12.12731605
19	12.00107224
20	11.88441452
21	11.76437726
22	11.65221817
23	11.54612993
24	11.44908343
25	11.35778735
26	11.2756052
27	11.196895
28	11.11894096
29	11.05585633
30	10.9908532
31	10.9284624
32	10.87033744
33	10.82039603
34	10.76730589
35	10.72257034
36	10.68196182
37	10.64034551
38	10.60412297
39	10.57111216
40	10.54048349
41	10.50732543
42	10.47679315
43	10.45113911
44	10.41851147
45	10.39501891
46	10.37441132
47	10.35379112
48	10.33412264
49	10.31369965
50	10.29771743
51	10.28078182
52	10.26505531
53	10.25142355
54	10.23895542
55	10.22507416
56	10.21194914
57	10.19790891
58	10.18631723
59	10.17626465
60	10.167017
61	10.1564102
62	10.14378018
63	10.13473367
64	10.12583634
65	10.11918729
66	10.11317226
67	10.10248559
68	10.09861573
69	10.09218987
70	10.08315182
71	10.0779394
72	10.07239672
73	10.06673345
74	10.06282841
75	10.05775418
76	10.05007906
77	10.03870443
78	10.03517399
79	10.02912841
80	10.02469252
81	10.02189127
82	10.01865095
83	10.01464971
84	10.00813842
85	10.00345262
86	9.999963015
87	9.995386762
88	9.991131127
89	9.986990701
90	9.978806632
91	9.976851446
92	9.974360028
93	9.968904152
94	9.967956179
95	9.961730365
96	9.958876417
97	9.955958275
98	9.952217265
99	9.950912573
100	9.947316085
101	9.943593533
102	9.94019628
103	9.938313586
104	9.93325954
105	9.932268511
106	9.929688818
107	9.928129486
108	9.925971392
109	9.922889757
110	9.921600968
111	9.917054842
112	9.914122383
113	9.910252241
114	9.90670965
115	9.902675163
116	9.900607481
117	9.898842315
118	9.896252783
119	9.892549459
120	9.891379831
121	9.885395028
122	9.882369127
123	9.881156775
124	9.873968976
125	9.87255117
126	9.869541712
127	9.868866465
128	9.865879289
129	9.863877562
130	9.86254782
131	9.860679328
132	9.858570466
133	9.85250867
134	9.848736212
135	9.846894487
136	9.846114438
137	9.84314139
138	9.841143609
139	9.837859681
140	9.835153166
141	9.831854753
142	9.829441284
143	9.826002402
144	9.822798035
145	9.819572406
146	9.818273041
147	9.815813489
148	9.814525969
149	9.813373879
150	9.810800637
151	9.808581218
152	9.804293295
153	9.801630446
154	9.800097094
155	9.797124485
156	9.794627624
157	9.792644174
158	9.789692901
159	9.788032021
160	9.787042466
161	9.785160508
162	9.780995565
163	9.77607818
164	9.772220044
165	9.771320447
166	9.765868288
167	9.763969573
168	9.761895014
169	9.759071598
170	9.758328626
171	9.752776401
172	9.750507149
173	9.748435918
174	9.745335534
175	9.740308915
176	9.735726323
177	9.733642233
178	9.730211958
179	9.725675884
180	9.721521955
181	9.715998327
182	9.712616763
183	9.710266671
184	9.704939247
185	9.700106238
186	9.698425401
187	9.695633882
188	9.68899174
189	9.685176529
190	9.683356214
191	9.681008502
192	9.677109114
193	9.674384653
194	9.669695625
195	9.667114079
196	9.663798305
197	9.656774742
198	9.649863858
199	9.646981475
200	9.641106643
201	9.639304479
202	9.638285731
203	9.633769647
204	9.631338732
205	9.629041462
206	9.627424546
207	9.624109415
208	9.620908853
209	9.618731647
210	9.616230781
211	9.610890386
212	9.607302395
213	9.602904015
214	9.600682955
215	9.598268048
216	9.595969943
217	9.591489058
218	9.589571637
219	9.586993464
220	9.581698472
221	9.579761585
222	9.578722528
223	9.576747877
224	9.574709216
225	9.571254206
226	9.569352957
227	9.566042522
228	9.562871211
229	9.560325359
230	9.558580871
231	9.556292908
232	9.554217163
233	9.551896937
234	9.547177277
235	9.545472113
236	9.543303195
237	9.540220472
238	9.538601381
239	9.532898972
240	9.532178192
241	9.527332221
242	9.52477639
243	9.522711878
244	9.520110152
245	9.518037874
246	9.515575982
247	9.510515428
248	9.508340503
249	9.505586553
250	9.500610542
251	9.499358312
252	9.496928764
253	9.495005533
254	9.492747024
255	9.490367722
256	9.484374991
257	9.482810496
258	9.481721327
259	9.478261994
260	9.47605869
261	9.470072944
262	9.468654248
263	9.466569187
264	9.464677868
265	9.46340114
266	9.462170903
267	9.459847376
268	9.457975509
269	9.449178869
270	9.447285545
271	9.445479143
272	9.44437285
273	9.442745545
274	9.441260962
275	9.439553677
276	9.434097571
277	9.428318869
278	9.424530057
279	9.420439228
280	9.411732837
281	9.404038978
282	9.403004287
283	9.402007085
284	9.398070354
285	9.391465034
286	9.390714406
287	9.383633677
288	9.379702799
289	9.371319608
290	9.3699352
291	9.368357422
292	9.364536358
293	9.363061421
294	9.359287036
295	9.358570038
296	9.35313407
297	9.346570889
298	9.338424932
299	9.33750297
300	9.329775389
301	9.327488958
302	9.326460859
303	9.32362513
304	9.320372538
305	9.317210729
306	9.309885759
307	9.306089233
308	9.302348634
309	9.299481623
310	9.294250491
311	9.293079193
312	9.289075111
313	9.286270308
314	9.284464495
315	9.283056234
316	9.278598911
317	9.275936939
318	9.271594882
319	9.263083797
320	9.26167297
321	9.260140111
322	9.252730962
323	9.250115931
324	9.24369679
325	9.242589445
326	9.241930937
327	9.240151537
328	9.238594904
329	9.232506065
330	9.230156043
331	9.228057072
332	9.226731631
333	9.224456862
334	9.22043734
335	9.219132032
336	9.212756949
337	9.208823486
338	9.204814828
339	9.201522707
340	9.195076993
341	9.19031213
342	9.189770844
343	9.186831141
344	9.182996663
345	9.17924181
346	9.177814931
347	9.172469123
348	9.165915544
349	9.161228105
350	9.156664843
351	9.153709404
352	9.150257066
353	9.148312887
354	9.142011064
355	9.139394484
356	9.137782109
357	9.136194888
358	9.134127799
359	9.132129761
360	9.130232254
361	9.128311245
362	9.126029583
363	9.124125461
364	9.122326133
365	9.121614384
366	9.119145597
367	9.113198717
368	9.111593875
369	9.108735082
370	9.10489166
371	9.101266341
372	9.099100631
373	9.096056084
374	9.093487536
375	9.088536752
376	9.087910848
377	9.087071547
378	9.084706246
379	9.079287566
380	9.07849783
381	9.072322206
382	9.068452009
383	9.066720018
384	9.062616932
385	9.061418283
386	9.059211178
387	9.058456336
388	9.055551731
389	9.05317725
390	9.048197198
391	9.045294974
392	9.039042343
393	9.034017259
394	9.033288757
395	9.031739209
396	9.030751447
397	9.028762873
398	9.025873773
399	9.024895607
400	9.021887705
401	9.020054235
402	9.016674714
403	9.013390499
404	9.011746996
405	9.010778947
406	9.008819368
407	9.008429852
408	9.00643541
409	9.005029896
410	9.003991193
411	9.000792029
412	8.996933577
413	8.994640407
414	8.993249889
415	8.988655484
416	8.985115871
417	8.9833691
418	8.980775516
419	8.977483479
420	8.976805437
421	8.976174962
422	8.974814545
423	8.973534395
424	8.967876886
425	8.965340169
426	8.960356521
427	8.958948515
428	8.956765321
429	8.95386457
430	8.952432143
431	8.951037466
432	8.950439743
433	8.94684693
434	8.946269177
435	8.942856857
436	8.94041715
437	8.937439356
438	8.93465775
439	8.933371321
440	8.932061362
441	8.929755323
442	8.928365205
443	8.927815789
444	8.924898345
445	8.920561513
446	8.918500907
447	8.915897705
448	8.915576914
449	8.914287433
450	8.909563293
451	8.904823337
452	8.903549071
453	8.89992633
454	8.899178963
455	8.898281052
456	8.892193765
457	8.89105877
458	8.885427977
459	8.880586764
460	8.874913197
461	8.873209534
462	8.873016048
463	8.871716206
464	8.869618775
465	8.868511033
466	8.865504494
467	8.861014168
468	8.8600532
469	8.857887499
470	8.856749849
471	8.853750744
472	8.852642368
473	8.85148104
474	8.848230607
475	8.847342098
476	8.846246699
477	8.841698152
478	8.839813271
479	8.838075649
480	8.834433512
481	8.833252698
482	8.830331202
483	8.828714805
484	8.82782524
485	8.823251312
486	8.82228138
487	8.820988915
488	8.81937116
489	8.81715937
490	8.813732822
491	8.812106276
492	8.810936913
493	8.809313065
494	8.808257079
495	8.806466613
496	8.803193013
497	8.802293634
498	8.801564609
499	8.798779146
500	8.796653751
501	8.795645357
502	8.789294184
503	8.785176967
504	8.782124431
505	8.779760032
506	8.778213255
507	8.773774324
508	8.772924928
509	8.770503378
510	8.767563955
511	8.766708078
512	8.764353938
513	8.761583498
514	8.759379792
515	8.758413663
516	8.755940979
517	8.752915429
518	8.749784946
519	8.748804704
520	8.748348599
521	8.747208692
522	8.74539992
523	8.744319747
524	8.743063002
525	8.742215999
526	8.738773163
527	8.738017053
528	8.73706061
529	8.734617334
530	8.729248511
531	8.724307404
532	8.721917512
533	8.718734508
534	8.717269155
535	8.713593763
536	8.712631399
537	8.711969427
538	8.707155873
539	8.70572318
540	8.702234489
541	8.697905129
542	8.697172565
543	8.696091056
544	8.69511571
545	8.692972886
546	8.691902427
547	8.687564425
548	8.685882989
549	8.683932722
550	8.682104831
551	8.677836424
552	8.676461446
553	8.673218284
554	8.672501906
555	8.67151215
556	8.668925119
557	8.668067312
558	8.663170271
559	8.662159912
560	8.66115011
561	8.659807205
562	8.659055474
563	8.658838529
564	8.658258588
565	8.653028029
566	8.650171572
567	8.647606338
568	8.646142734
569	8.642992542
570	8.637304742
571	8.632413513
572	8.630592397
573	8.627446465
574	8.626584005
575	8.622963752
576	8.619707003
577	8.615688093
578	8.614630903
579	8.612362345
580	8.609118554
581	8.606973746
582	8.603072387
583	8.600001294
584	8.59802235
585	8.595160826
586	8.59418131
587	8.593107158
588	8.587091946
589	8.586202935
590	8.585082986
591	8.584247446
592	8.581213908
593	8.578450335
594	8.57658157
595	8.574866563
596	8.571484954
597	8.569206411
598	8.568440696
599	8.567235266
600	8.566056167
