iter	Passed	Remaining
0	1	1045
1	1	894
2	2	816
3	3	791
4	3	769
5	4	755
6	5	788
7	6	804
8	7	806
9	8	832
10	9	832
11	9	818
12	10	804
13	11	795
14	11	786
15	12	778
16	13	772
17	14	766
18	14	758
19	15	753
20	16	755
21	16	754
22	17	750
23	18	746
24	19	742
25	19	742
26	20	744
27	21	746
28	22	751
29	23	757
30	24	753
31	24	750
32	25	746
33	26	743
34	26	739
35	27	736
36	28	734
37	28	730
38	29	727
39	29	717
40	30	714
41	31	713
42	31	711
43	32	709
44	33	706
45	33	704
46	34	702
47	35	705
48	36	706
49	37	709
50	38	712
51	39	711
52	39	709
53	40	707
54	41	705
55	41	704
56	42	702
57	43	701
58	43	699
59	44	698
60	45	696
61	45	694
62	46	693
63	47	691
64	47	689
65	48	688
66	49	687
67	50	685
68	50	679
69	51	681
70	52	681
71	52	680
72	53	678
73	54	677
74	54	676
75	55	675
76	56	673
77	56	672
78	57	671
79	58	670
80	58	668
81	59	667
82	60	666
83	60	665
84	61	664
85	62	662
86	63	661
87	63	660
88	64	659
89	65	658
90	65	658
91	66	658
92	67	658
93	68	657
94	68	657
95	69	656
96	70	655
97	71	654
98	71	653
99	72	652
100	73	650
101	73	649
102	74	648
103	75	647
104	75	646
105	76	645
106	77	644
107	77	643
108	78	642
109	79	641
110	80	640
111	80	639
112	81	638
113	82	638
114	83	639
115	83	639
116	84	639
117	85	638
118	86	638
119	86	637
120	87	636
121	88	635
122	88	633
123	89	633
124	90	631
125	90	630
126	91	629
127	92	628
128	92	627
129	93	626
130	94	625
131	95	624
132	95	624
133	96	623
134	97	622
135	98	623
136	98	623
137	99	623
138	100	622
139	101	621
140	101	620
141	102	620
142	103	619
143	104	618
144	104	617
145	105	616
146	106	615
147	106	612
148	107	612
149	107	611
150	108	610
151	109	609
152	109	608
153	110	607
154	111	607
155	112	607
156	113	609
157	114	609
158	115	609
159	115	608
160	116	608
161	117	608
162	118	607
163	119	607
164	119	606
165	120	605
166	121	604
167	121	603
168	122	602
169	123	601
170	123	600
171	124	599
172	125	599
173	126	598
174	127	598
175	127	598
176	128	598
177	129	598
178	130	597
179	131	597
180	131	596
181	132	595
182	133	595
183	134	594
184	134	593
185	135	592
186	136	591
187	136	590
188	137	590
189	138	589
190	138	588
191	139	587
192	140	586
193	140	585
194	141	584
195	142	584
196	143	583
197	143	582
198	144	581
199	145	581
200	146	581
201	147	581
202	147	580
203	148	580
204	149	579
205	150	579
206	151	578
207	151	577
208	152	576
209	153	576
210	153	575
211	154	574
212	155	574
213	156	573
214	156	572
215	157	571
216	158	570
217	159	570
218	159	570
219	161	570
220	161	570
221	162	570
222	163	569
223	164	568
224	164	567
225	165	566
226	166	566
227	166	564
228	167	564
229	168	563
230	168	562
231	169	561
232	170	560
233	171	560
234	171	559
235	172	558
236	173	557
237	173	556
238	174	555
239	175	554
240	176	555
241	177	554
242	178	554
243	178	554
244	179	554
245	180	553
246	181	552
247	182	551
248	182	550
249	183	550
250	184	549
251	184	548
252	185	547
253	186	546
254	186	545
255	187	544
256	188	544
257	188	543
258	189	542
259	190	541
260	191	541
261	192	541
262	193	541
263	193	540
264	194	539
265	195	538
266	195	537
267	196	536
268	197	535
269	197	534
270	198	533
271	199	533
272	199	532
273	200	531
274	201	530
275	201	529
276	202	528
277	203	528
278	203	527
279	204	526
280	205	525
281	206	524
282	206	524
283	207	523
284	208	523
285	209	522
286	209	521
287	210	520
288	211	519
289	212	519
290	212	518
291	213	517
292	213	516
293	214	515
294	215	515
295	216	514
296	216	513
297	217	512
298	218	511
299	218	510
300	219	509
301	220	509
302	221	508
303	221	508
304	222	507
305	223	506
306	224	506
307	225	505
308	225	505
309	226	504
310	227	503
311	227	502
312	228	501
313	229	501
314	230	500
315	230	499
316	231	498
317	232	497
318	232	497
319	233	496
320	234	495
321	234	494
322	235	493
323	236	493
324	237	492
325	237	491
326	238	491
327	239	490
328	240	489
329	240	488
330	241	487
331	242	487
332	242	486
333	243	485
334	244	484
335	244	483
336	245	483
337	246	482
338	246	481
339	247	480
340	248	479
341	248	478
342	249	477
343	250	477
344	250	476
345	251	475
346	252	475
347	253	474
348	253	473
349	254	472
350	255	472
351	256	471
352	256	470
353	257	469
354	258	468
355	258	468
356	259	467
357	260	466
358	260	465
359	261	464
360	262	464
361	262	463
362	263	462
363	264	461
364	264	460
365	265	460
366	266	459
367	266	458
368	267	458
369	268	457
370	269	456
371	270	456
372	270	455
373	271	454
374	272	453
375	272	453
376	273	452
377	274	451
378	274	450
379	275	449
380	276	448
381	276	447
382	277	447
383	278	446
384	278	445
385	279	444
386	280	443
387	280	443
388	281	442
389	282	441
390	283	440
391	283	440
392	284	439
393	285	438
394	286	438
395	286	437
396	287	436
397	288	435
398	288	435
399	289	434
400	290	433
401	290	432
402	291	432
403	292	431
404	293	430
405	294	430
406	294	429
407	295	429
408	296	428
409	297	427
410	297	426
411	299	426
412	299	426
413	300	425
414	301	425
415	302	424
416	303	423
417	303	423
418	304	422
419	305	421
420	306	421
421	307	420
422	307	419
423	308	419
424	309	418
425	310	417
426	310	417
427	311	416
428	312	415
429	313	415
430	314	414
431	315	414
432	315	413
433	316	413
434	317	412
435	318	411
436	319	410
437	319	410
438	320	409
439	321	408
440	321	408
441	322	407
442	323	406
443	324	405
444	324	405
445	325	404
446	326	404
447	327	403
448	328	402
449	328	401
450	329	401
451	330	400
452	331	400
453	331	399
454	332	398
455	333	397
456	334	396
457	334	396
458	335	395
459	336	394
460	337	394
461	337	393
462	338	392
463	339	391
464	339	390
465	340	390
466	341	389
467	341	388
468	342	387
469	343	386
470	343	386
471	344	385
472	345	384
473	346	384
474	346	383
475	347	382
476	348	381
477	348	381
478	349	380
479	350	379
480	351	378
481	351	377
482	352	377
483	353	376
484	353	375
485	354	374
486	355	374
487	355	373
488	356	372
489	357	372
490	358	371
491	359	370
492	360	370
493	361	370
494	362	370
495	363	369
496	365	369
497	366	369
498	367	368
499	368	368
500	369	367
501	370	367
502	371	366
503	371	366
504	372	365
505	373	364
506	374	364
507	375	363
508	376	362
509	377	362
510	378	362
511	379	361
512	379	360
513	380	360
514	383	360
515	384	360
516	384	359
517	385	359
518	386	358
519	387	357
520	388	356
521	388	356
522	389	355
523	390	354
524	391	354
525	392	353
526	393	353
527	394	352
528	395	351
529	396	351
530	396	350
531	397	349
532	398	349
533	399	348
534	399	347
535	400	346
536	401	346
537	402	345
538	402	344
539	403	343
540	404	343
541	404	342
542	405	341
543	406	340
544	407	340
545	408	339
546	409	338
547	410	338
548	410	337
549	411	336
550	412	336
551	413	335
552	413	334
553	414	333
554	415	333
555	416	332
556	416	331
557	417	330
558	418	329
559	418	329
560	419	328
561	420	327
562	420	326
563	421	326
564	422	325
565	423	324
566	424	323
567	425	323
568	425	322
569	426	321
570	427	320
571	428	320
572	429	319
573	430	319
574	430	318
575	431	317
576	432	316
577	433	316
578	433	315
579	434	314
580	435	313
581	435	313
582	436	312
583	437	311
584	438	310
585	439	310
586	439	309
587	440	308
588	441	308
589	442	307
590	443	306
591	443	305
592	444	305
593	445	304
594	445	303
595	446	302
596	447	301
597	448	301
598	448	300
599	449	299
600	450	298
601	450	298
602	451	297
603	452	296
604	452	295
605	453	294
606	454	294
607	455	293
608	455	292
609	456	291
610	457	291
611	458	290
612	458	289
613	459	288
614	460	288
615	460	287
616	461	286
617	462	285
618	462	284
619	463	284
620	464	283
621	464	282
622	465	281
623	466	281
624	467	280
625	467	279
626	468	278
627	469	278
628	470	277
629	471	276
630	471	275
631	472	275
632	473	274
633	473	273
634	474	272
635	475	271
636	475	271
637	476	270
638	477	269
639	478	268
640	478	268
641	479	267
642	480	266
643	480	265
644	481	265
645	482	264
646	482	263
647	483	262
648	484	262
649	485	261
650	486	260
651	486	259
652	487	259
653	488	258
654	488	257
655	489	256
656	490	255
657	490	255
658	491	254
659	492	253
660	492	252
661	493	252
662	494	251
663	494	250
664	495	249
665	496	248
666	497	248
667	497	247
668	498	246
669	499	245
670	500	245
671	500	244
672	501	243
673	502	242
674	502	242
675	503	241
676	504	240
677	505	239
678	505	239
679	506	238
680	507	237
681	507	236
682	508	236
683	509	235
684	509	234
685	510	233
686	511	232
687	512	232
688	512	231
689	513	230
690	514	229
691	514	229
692	515	228
693	516	227
694	517	226
695	517	226
696	518	225
697	519	224
698	520	224
699	521	223
700	522	222
701	523	222
702	523	221
703	524	220
704	525	219
705	525	219
706	526	218
707	527	217
708	528	216
709	528	215
710	529	215
711	530	214
712	531	213
713	532	213
714	533	212
715	533	211
716	534	210
717	535	210
718	536	209
719	536	208
720	537	208
721	538	207
722	539	206
723	539	205
724	540	205
725	541	204
726	541	203
727	542	202
728	543	201
729	543	201
730	544	200
731	545	199
732	546	199
733	547	198
734	548	197
735	548	196
736	549	196
737	550	195
738	551	194
739	551	193
740	552	193
741	553	192
742	554	191
743	554	190
744	555	190
745	556	189
746	556	188
747	557	187
748	558	187
749	559	186
750	559	185
751	560	184
752	561	184
753	561	183
754	562	182
755	563	181
756	564	181
757	565	180
758	565	179
759	566	178
760	567	178
761	567	177
762	568	176
763	569	175
764	569	175
765	570	174
766	571	173
767	572	172
768	572	172
769	573	171
770	574	170
771	574	169
772	575	168
773	576	168
774	576	167
775	577	166
776	578	166
777	579	165
778	579	164
779	580	163
780	581	162
781	582	162
782	582	161
783	583	160
784	584	160
785	584	159
786	585	158
787	586	157
788	587	156
789	587	156
790	588	155
791	589	154
792	589	153
793	590	153
794	591	152
795	591	151
796	592	151
797	593	150
798	594	149
799	595	148
800	595	148
801	596	147
802	597	146
803	598	145
804	598	145
805	600	144
806	601	143
807	601	143
808	602	142
809	603	141
810	604	140
811	604	140
812	605	139
813	606	138
814	607	137
815	608	137
816	609	136
817	610	135
818	610	135
819	611	134
820	612	133
821	613	132
822	613	132
823	614	131
824	615	130
825	616	129
826	616	129
827	617	128
828	618	127
829	618	126
830	619	126
831	620	125
832	621	124
833	621	123
834	622	123
835	623	122
836	623	121
837	624	120
838	625	120
839	626	119
840	626	118
841	627	117
842	628	117
843	629	116
844	629	115
845	630	114
846	631	114
847	631	113
848	632	112
849	633	111
850	633	110
851	634	110
852	635	109
853	635	108
854	636	107
855	637	107
856	638	106
857	638	105
858	639	104
859	640	104
860	641	103
861	641	102
862	642	101
863	643	101
864	643	100
865	644	99
866	645	98
867	645	98
868	646	97
869	647	96
870	647	95
871	648	95
872	649	94
873	650	93
874	650	92
875	651	92
876	652	91
877	653	90
878	653	89
879	654	89
880	655	88
881	655	87
882	656	87
883	657	86
884	657	85
885	658	84
886	659	84
887	660	83
888	660	82
889	661	81
890	662	81
891	662	80
892	663	79
893	664	78
894	665	78
895	665	77
896	666	76
897	667	75
898	667	75
899	668	74
900	669	73
901	670	72
902	670	72
903	671	71
904	672	70
905	672	69
906	673	69
907	674	68
908	674	67
909	675	66
910	676	66
911	677	65
912	677	64
913	678	63
914	679	63
915	679	62
916	680	61
917	681	60
918	682	60
919	682	59
920	683	58
921	684	57
922	685	57
923	685	56
924	686	55
925	687	54
926	687	54
927	688	53
928	689	52
929	690	51
930	691	51
931	691	50
932	692	49
933	693	48
934	693	48
935	694	47
936	695	46
937	695	45
938	696	45
939	697	44
940	698	43
941	698	43
942	699	42
943	700	41
944	701	40
945	701	40
946	702	39
947	703	38
948	703	37
949	704	37
950	705	36
951	706	35
952	707	34
953	707	34
954	708	33
955	709	32
956	709	31
957	710	31
958	711	30
959	711	29
960	712	28
961	713	28
962	713	27
963	714	26
964	715	25
965	716	25
966	717	24
967	717	23
968	718	22
969	719	22
970	720	21
971	720	20
972	721	20
973	722	19
974	723	18
975	723	17
976	724	17
977	725	16
978	725	15
979	726	14
980	727	14
981	727	13
982	728	12
983	729	11
984	729	11
985	730	10
986	731	9
987	732	8
988	733	8
989	734	7
990	735	6
991	735	5
992	736	5
993	737	4
994	737	3
995	738	2
996	739	2
997	740	1
998	740	0
999	741	0
