iter	Passed	Remaining
0	1	346
1	2	289
2	4	267
3	5	255
4	6	264
5	8	261
6	9	255
7	10	250
8	11	247
9	12	243
10	13	239
11	14	233
12	15	223
13	16	219
14	17	216
15	18	213
16	19	209
17	20	205
18	20	198
19	21	196
20	22	191
21	23	189
22	24	186
23	25	183
24	25	181
25	26	179
26	27	176
27	28	174
28	29	171
29	29	169
30	30	167
31	31	165
32	32	163
33	33	161
34	33	159
35	34	157
36	35	155
37	36	154
38	36	152
39	37	151
40	38	150
41	39	148
42	40	147
43	41	145
44	41	144
45	42	142
46	43	141
47	44	139
48	44	138
49	46	138
50	47	137
51	47	136
52	48	134
53	49	133
54	50	132
55	51	131
56	51	129
57	52	128
58	53	127
59	54	126
60	54	125
61	55	123
62	56	122
63	57	121
64	57	120
65	58	119
66	59	118
67	60	117
68	61	115
69	62	115
70	63	114
71	63	113
72	64	112
73	65	111
74	66	110
75	67	109
76	67	108
77	69	107
78	69	107
79	70	106
80	71	105
81	72	104
82	73	102
83	73	101
84	74	100
85	75	99
86	76	98
87	77	98
88	78	97
89	78	96
90	79	95
91	80	94
92	81	93
93	82	92
94	82	91
95	83	90
96	84	89
97	85	88
98	85	87
99	86	86
100	87	85
101	88	84
102	88	83
103	89	82
104	90	81
105	91	80
106	91	79
107	92	78
108	93	78
109	94	77
110	94	76
111	95	75
112	96	74
113	97	73
114	97	72
115	98	71
116	99	70
117	100	69
118	101	68
119	101	67
120	102	66
121	103	66
122	103	65
123	104	64
124	105	63
125	106	62
126	107	61
127	107	60
128	108	59
129	109	59
130	110	58
131	111	57
132	112	56
133	113	55
134	114	55
135	114	54
136	115	53
137	116	52
138	117	51
139	118	50
140	118	49
141	119	48
142	120	47
143	121	47
144	121	46
145	122	45
146	123	44
147	124	43
148	124	42
149	125	41
150	126	41
151	127	40
152	128	39
153	128	38
154	129	37
155	130	36
156	131	35
157	131	35
158	132	34
159	133	33
160	134	32
161	134	31
162	135	30
163	136	29
164	137	29
165	137	28
166	138	27
167	139	26
168	140	25
169	141	24
170	142	24
171	142	23
172	143	22
173	144	21
174	145	20
175	145	19
176	146	19
177	147	18
178	148	17
179	149	16
180	149	15
181	150	14
182	151	14
183	152	13
184	152	12
185	153	11
186	154	10
187	155	9
188	156	9
189	156	8
190	157	7
191	158	6
192	159	5
193	160	4
194	160	4
195	161	3
196	162	2
197	163	1
198	163	0
199	164	0
